Sirius,90.75,-16.7,-1.46
Canopus,90.4,-52.7,-0.73
Rigil Kentaurus,210.6666667,-60.8,-0.29
Arcturus,210.2666667,19.2,-0.05
Vega,270.6166667,38.8,0.03
Capella,75.28333333,46,0.07
Rigel,75.25,-8.2,0.15
Procyon,105.65,5.2,0.36
Achernar,15.63333333,-57.2,0.45
Betelgeuse,75.91666667,7.4,0.55
Hadar,210.0666667,-60.4,0.61
Altair,285.85,8.9,0.77
Acrux,180.45,-63.1,0.79
Aldebaran,60.6,16.5,0.86
Antares,240.4833333,-26.4,0.95
Spica,195.4166667,-11.2,0.97
Pollux,105.75,28,1.14
Fomalhaut,330.9666667,-29.6,1.15
Deneb,300.6833333,45.3,1.24
Mimosa,180.8,-59.7,1.26
Regulus,150.1333333,12,1.36
Adhara,90.98333333,-29,1.5
Castor,105.5833333,31.9,1.58
Shaula,255.5666667,-37.1,1.62
Gacrux,180.5166667,-57.1,1.63
Bellatrix,75.41666667,6.3,1.64
Elnath,75.43333333,28.6,1.66
Miaplacidus,135.2166667,-69.7,1.67
Alnilam,75.6,-1.2,1.69
Alnair,330.1333333,-47,1.74
Alnitak,75.68333333,-1.9,1.75
Alioth,180.9,56,1.77
Dubhe,165.0666667,61.8,1.8
Mirfak,45.4,49.9,1.8
Regor,120.1666667,-47.3,1.81
Wezen,105.1333333,-26.4,1.83
Kaus Australis,270.4,-34.4,1.84
Alkaid,195.8,49.3,1.86
Sargas,255.6166667,-43,1.86
Avior,120.3833333,-59.5,1.87
Menkalinan,90,44.9,1.9
Atria,240.8166667,-69,1.92
Alhena,90.63333333,16.4,1.93
Peacock,300.4333333,-56.7,1.93
Koo She,120.75,-54.7,1.95
Alphard,135.4666667,-8.7,1.98
Mirzam,90.38333333,-18,1.98
Polaris,30.53333333,89.3,1.99
Algieba,150.3333333,19.8,2
Hamal,30.11666667,23.5,2.01
Diphda,0.733333333,-18,2.04
Nunki,270.9166667,-26.3,2.05
Menkent,210.1166667,-36.4,2.06
Al Dhanab,330.7166667,-46.9,2.07
Alpheratz,0.133333333,29.1,2.07
Kochab,210.85,74.2,2.07
Mirach,15.16666667,35.6,2.07
Saiph,75.8,-9.7,2.07
Rasalhague,255.5833333,12.6,2.08
Algol,45.13333333,41,2.09
Almach,30.06666667,42.3,2.1
Denebola,165.8166667,14.6,2.14
Cih,0.95,60.7,2.15
Muhlifain,180.7,-49,2.2
Aspidiske,135.2833333,-59.3,2.21
Naos,120.0666667,-40,2.21
Alphecca,225.5833333,26.7,2.22
Mizar,195.4,54.9,2.23
Sadr,300.3666667,40.3,2.23
Suhail,135.1333333,-43.4,2.23
Eltanin,255.95,51.5,2.24
Schedar,0.683333333,56.5,2.24
Mintaka,75.53333333,-0.3,2.25
Caph,0.15,59.2,2.28
Dschubba,240,-22.6,2.29
Wei,240.8333333,-34.3,2.29
Men,210.7,-47.4,2.3
Merak,165.0333333,56.4,2.34
Izar,210.75,27.1,2.35
Enif,315.7333333,9.9,2.38
Girtab,255.7,-39,2.39
Ankaa,0.433333333,-42.3,2.4
Phecda,165.9,53.7,2.41
Sabik,255.1666667,-15.7,2.43
Scheat,345.0666667,28.1,2.44
Alderamin,315.3166667,62.6,2.45
Aludra,105.4,-29.3,2.45
Markeb,135.3666667,-55,2.47
Gienah,300.7666667,34,2.48
Markab,345.0833333,15.2,2.49
Han,240.6166667,-10.6,2.54
Menkar,45.03333333,4.1,2.54
Al Nair al Kent.,195.9333333,-47.3,2.55
Graffias,240.0833333,-19.8,2.56
Zosma,165.2333333,20.5,2.56
Arneb,75.55,-17.8,2.58
